0.00071,0.00003
0.08995,0.05498
0.50704,0.37662
1.55037,1.22994
3.54619,2.87049
6.66690,5.62279
11.41278,9.62129
18.02601,15.25005
26.65636,22.67726
37.90611,32.31746
53.00988,45.04105
71.20928,61.06875
93.75821,79.80415
119.30030,101.95458
149.23124,128.32927
183.46590,160.68146
223.20999,195.10546
268.02817,231.24999
320.54689,274.34735
395.93991,328.84269
459.12013,381.72500
532.19196,445.82261
589.35521,508.36583
671.57391,587.78573
740.37087,699.61379
895.27402,757.49614
992.77304,851.34230
1104.62310,936.19750
1216.47315,1021.05271
1328.32321,1105.90791
